condition,w,sigma_d,seed,handoff,n_reached,w2
A0.03,0.2,0.05,3,2,200,0.029123607714374326
A0.03,0.2,0.05,4,1,200,0.028294810029969718
A0.03,0.2,0.05,4,2,200,0.03327020816587901
A0.03,0.2,0.1,0,1,200,0.03353065451880222
A0.03,0.2,0.1,0,2,200,0.0580157051271648
A0.03,0.2,0.1,1,1,200,0.03578300428176252
A0.03,0.2,0.1,1,2,200,0.048922103972464916
A0.03,0.2,0.1,2,1,200,0.02829590557941901
A0.03,0.2,0.1,2,2,200,0.03426743354262252
A0.03,0.2,0.1,3,1,200,0.02661882876753189
A0.03,0.2,0.1,3,2,200,0.03438983388741906
A0.03,0.2,0.1,4,1,200,0.030591007607280056
A0.03,0.2,0.1,4,2,200,0.027474406776098644
A0.03,0.4,0.0,0,1,200,0.051122394983265824
A0.03,0.4,0.0,0,2,200,0.035992767325061285
A0.03,0.4,0.0,1,1,200,0.037484736521534306
A0.03,0.4,0.0,1,2,200,0.03378928135846085
A0.03,0.4,0.0,2,1,200,0.03309082519353436
A0.03,0.4,0.0,2,2,200,0.03525873740337678
A0.03,0.4,0.0,3,1,200,0.048529719568149776
A0.03,0.4,0.0,3,2,200,0.0552383136101908
A0.03,0.4,0.0,4,1,200,0.050590448533894765
A0.03,0.4,0.0,4,2,200,0.05524595661396392
A0.03,0.4,0.02,0,1,200,0.03431567500562158
A0.03,0.4,0.02,0,2,200,0.03559648093145975
A0.03,0.4,0.02,1,1,200,0.03911414274252477
A0.03,0.4,0.02,1,2,200,0.03280241832341807
A0.03,0.4,0.02,2,1,200,0.034318534760291564
A0.03,0.4,0.02,2,2,200,0.036714230507850554
A0.03,0.4,0.02,3,1,200,0.030342124032974552
A0.03,0.4,0.02,3,2,200,0.06089637741684105
A0.03,0.4,0.02,4,1,200,0.0546687769284559
A0.03,0.4,0.02,4,2,200,0.05563001582824553
A0.03,0.4,0.05,0,1,200,0.037655226052645825
A0.03,0.4,0.05,0,2,200,0.0389479389846421
A0.03,0.4,0.05,1,1,200,0.04486551396179411
A0.03,0.4,0.05,1,2,200,0.04169179362677154
A0.03,0.4,0.05,2,1,200,0.03611535955212289
A0.03,0.4,0.05,2,2,200,0.03518973864581666
A0.03,0.4,0.05,3,1,200,0.030936580260520583
